year,month,account_id,total_transfer_in,total_transfer_out,saldo_mensal_conta
2020,1,623509224135263,4721.06,3587.53,1133.53
2020,2,623509224135263,81.74,743.02,472.25
2020,3,623509224135263,5748.04,3215.22,3005.07
2020,4,623509224135263,6830.82,1051.02,8784.87
2020,5,623509224135263,4739.93,6766.9,6757.9
2020,6,623509224135263,7599.05,508.67,13848.28
2020,7,623509224135263,5536.49,2488.62,16896.15
2020,8,623509224135263,6916.86,3505.74,20307.27
2020,9,623509224135263,10769.25,1580.91,29495.61
2020,10,623509224135263,3629.53,1979.09,31146.05
2020,11,623509224135263,7747.6,3059.9,35833.75
2020,12,623509224135263,13177.19,129.94,48881.0
2020,1,1910868644230470,6149.17,0.0,6149.17
2020,2,1910868644230470,5892.9,1271.45,10770.62
2020,3,1910868644230470,3617.12,3023.6,11364.14
2020,4,1910868644230470,8191.25,1869.75,17685.64
2020,5,1910868644230470,3055.01,5386.48,15354.17
2020,6,1910868644230470,5681.79,2474.06,18561.9
2020,7,1910868644230470,1595.52,1279.43,18877.99
2020,8,1910868644230470,8438.21,7065.54,20250.66
2020,9,1910868644230470,0.0,2353.51,17897.15
2020,10,1910868644230470,1787.24,2125.77,17558.62
2020,11,1910868644230470,2093.28,0.0,19651.9
2020,12,1910868644230470,8556.78,0.0,28208.68
2020,1,1963067196365885,2185.95,1385.03,800.92
2020,2,1963067196365885,7574.49,2910.73,5464.68
2020,3,1963067196365885,7544.24,7884.58,5124.34
2020,4,1963067196365885,6564.6,2838.34,8850.6
2020,5,1963067196365885,12708.35,3756.13,17802.82
2020,6,1963067196365885,7314.82,8938.8,16178.84
2020,7,1963067196365885,6758.02,3425.68,19511.18
2020,8,1963067196365885,2459.86,3604.91,18366.13
2020,9,1963067196365885,5571.82,4485.13,19452.82
2020,10,1963067196365885,10310.83,702.6,29061.05
2020,11,1963067196365885,8742.35,587.27,37216.13
2020,12,1963067196365885,9901.4,5199.43,41918.1
2020,1,1977223077647860,4350.72,0.0,4350.72
2020,2,1977223077647860,4263.09,0.0,8613.81
2020,3,1977223077647860,1498.89,132.27,9980.43
2020,5,1977223077647860,1275.02,1441.91,9813.54
2020,6,1977223077647860,1250.87,1525.43,9538.98
2020,7,1977223077647860,2496.1,0.0,12035.08
2020,8,1977223077647860,1140.35,0.0,13175.43
2020,9,1977223077647860,1428.0,0.0,14603.43
2020,10,1977223077647860,3151.34,0.0,17754.77
2020,11,1977223077647860,2356.31,1102.07,19009.01
2020,12,1977223077647860,2441.72,0.0,21450.73
2020,1,3417018705901279,5951.51,3763.2,2188.31
2020,2,3417018705901279,11264.06,3945.47,9506.9
2020,3,3417018705901279,8477.46,11002.12,6982.24
2020,4,3417018705901279,11225.04,3839.54,14367.74
2020,5,3417018705901279,11140.54,7916.28,17592.0
2020,6,3417018705901279,9990.95,640.59,26942.36
2020,7,3417018705901279,11644.96,8560.88,30026.44
2020,8,3417018705901279,11078.4,3871.35,37233.49
2020,9,3417018705901279,12739.24,3940.44,46032.29
2020,10,3417018705901279,10291.74,6177.7,50146.33
2020,11,3417018705901279,12400.63,1582.13,60964.83
2020,12,3417018705901279,13425.54,3059.92,71330.45
2020,1,4754428307736093,4898.54,5865.77,-967.23
2020,2,4754428307736093,7769.46,1256.08,5546.15
2020,3,4754428307736093,8201.83,4887.49,8860.49
2020,4,4754428307736093,11421.13,7036.05,13245.57
2020,5,4754428307736093,12892.22,2509.4,23628.39
2020,6,4754428307736093,10439.24,386.4,33681.23
2020,7,4754428307736093,11701.04,198.34,45183.93
2020,8,4754428307736093,9062.5,7695.79,46550.64
2020,9,4754428307736093,11704.29,7125.24,51129.69
2020,10,4754428307736093,11986.45,4503.09,58613.05
2020,11,4754428307736093,12175.74,5386.16,65402.63
2020,12,4754428307736093,12594.7,4667.32,73330.01
2020,1,4815918146446274,3867.07,2.57,3864.5
2020,2,4815918146446274,1873.34,0.0,5737.84
2020,3,4815918146446274,2431.57,0.0,8169.41
2020,4,4815918146446274,2519.31,1891.86,8796.86
2020,5,4815918146446274,1755.2,0.0,10552.06
2020,6,4815918146446274,1021.48,632.22,10941.32
2020,7,4815918146446274,3024.6,225.22,13740.7
2020,8,4815918146446274,1290.48,0.0,15031.18
2020,9,4815918146446274,546.36,1376.99,14200.55
2020,10,4815918146446274,1383.09,0.0,15583.64
2020,11,4815918146446274,971.05,0.0,16554.69
2020,12,4815918146446274,0.0,1496.03,15058.66
2020,1,7089776641588232,7531.99,652.95,6879.04
